Order	Mother	Offspring	OM	CP	IVD	LDM	RC	PLB
1	1	1	90.8356	13.5798	61.9301	161.3886	1.642	76.8403
2	1	3	90.6509	12.6261	61.0341	232.1395	2.0214	74.2176
3	1	4	90.878	11.9623	59.9838	224.771	2.0336	74.4618
4	1	5	91.3165	12.0413	60.4348	147.4136	1.7306	71.795
5	2	6	91.016	12.429	60.5632	165.0718	2.3027	76.2235
6	2	7	91.593	12.8964	60.8558	73.0338	1.4937	71.9357
7	2	8	91.0386	12.4026	59.6005	257.8317	2.1192	75.0556
8	2	9	90.8869	12.8799	60.6799	199.2566	2.0291	75.2825
9	2	10	89.7139	13.7182	59.5832	71.9188	1.6173	75.9775
10	3	11	91.3856	12.0159	60.089	169.124	1.1379	71.3908
11	3	12	90.1885	12.7599	60.3641	267.5564	2.1757	73.3862
12	3	13	91.0318	12.3335	58.0756	231.3106	2.145	76.2176
13	3	14	90.5127	12.4503	60.3633	263.7394	2.5431	76.9374
14	3	15	91.0185	13.4453	61.6423	193.4868	1.7773	75.2692
15	4	16	90.6878	12.3558	60.7535	80.5182	0.9383	71.0969
16	4	17	90.7207	12.7916	60.4314	328.4537	2.135	75.0823
17	4	18	91.8885	12.0653	60.4435	64.0562	0.4757	70.6275
18	4	19	90.4667	13.8216	61.8097	149.904	1.5214	71.0993
19	4	20	90.2038	12.4295	59.1938	232.2724	1.8859	75.9821
20	5	22	90.829	12.4448	61.0763	333.4837	2.6567	75.518
21	5	23	90.9675	12.9854	60.377	261.7225	1.982	73.0197
22	5	24	90.9335	12.5432	59.6	138.3398	1.5881	77.0629
23	5	25	90.7754	12.0035	60.4309	395.284	2.8396	75.6377
24	6	26	90.8012	11.319	59.6516	256.7288	1.9286	75.3812
25	6	28	91.1359	12.6697	60.0106	300.2039	1.8005	74.8615
26	6	29	90.4697	12.7488	62.1218	277.8145	2.0101	73.4504
27	6	30	90.5695	12.7013	59.891	350.9195	2.0841	75.9104
28	7	31	90.7462	12.5407	59.8848	351.4413	2.0108	80.4336
29	7	32	90.3898	13.0625	62.0813	212.7239	2.828	75.0792
30	7	33	90.5803	13.2159	60.5664	79.3539	1.2543	77.1492
31	7	34	90.9626	12.924	61.4626	238.4484	1.8704	73.0331
32	7	35	90.3518	12.6569	60.7148	211.4005	2.7475	78.2715
