Offspring,OM,IVD,CP,LDM,RC,PLB
1,90.910743,61.933685,13.61826,193.617084,1.535573,76.40178
3,90.680963,61.037762,12.653534,214.43594,1.756454,73.177298
4,90.886854,59.976313,11.983336,210.5121,2.134006,71.640266
5,91.379125,60.413459,12.04523,211.295393,1.902449,73.158477
6,90.970909,60.52676,12.449674,204.69821,2.113776,77.409416
7,91.586862,60.842983,12.950576,208.941711,1.606475,71.174354
8,91.065163,59.599295,12.452379,215.685231,2.38852,75.078038
9,90.88242,60.653912,12.904466,209.687678,2.2139,78.833509
10,89.687434,59.581361,13.790346,204.252996,1.451003,79.948296
11,91.393152,60.096016,11.996129,205.278977,1.337175,71.512728
12,90.23565,60.343335,12.753912,217.225238,2.103733,71.656503
13,91.036351,58.048397,12.307752,216.041943,2.164317,79.092113
14,90.619823,60.35987,12.425647,211.716542,2.422713,74.897445
15,91.085451,61.655956,13.439802,206.404797,1.480586,73.134365
16,90.661303,60.771503,12.373853,204.925094,0.897522,75.299017
17,90.774966,60.444393,12.812895,208.345388,2.149175,75.831039
18,91.929802,60.422551,12.062594,210.712275,0.561785,65.725917
19,90.45496,61.813328,13.856706,207.03537,1.548114,67.593048
20,90.096733,59.185117,12.451721,213.859644,1.743637,73.939774
22,90.780409,61.050655,12.442347,192.628113,2.661109,73.213521
23,90.976628,60.378917,13.001647,215.760499,1.843328,72.680806
24,90.904296,59.621758,12.557778,216.799262,1.80134,78.944741
25,90.747864,60.434986,11.989044,215.921426,2.744323,76.813206
26,90.700391,59.646259,11.285208,206.276853,2.445733,75.983595
28,91.126719,59.987562,12.644976,225.596701,1.815299,73.146224
29,90.309072,62.115027,12.72676,214.297025,2.025336,76.764028
30,90.547988,59.860094,12.692701,214.549817,2.226827,76.259535
31,90.651471,59.859773,12.492905,203.634657,1.883455,80.60414
32,90.372545,62.080613,13.022053,193.867523,2.763339,74.949892
33,90.442675,60.554005,13.158743,204.898412,1.511294,76.521239
34,91.030417,61.431911,12.863517,212.944775,2.001854,74.016873
35,90.343378,60.663518,12.596996,208.777347,2.337507,79.769734
37,90.907478,59.811866,12.169225,237.23778,2.734858,76.636282
39,90.247159,59.978223,12.873007,229.614126,1.096257,70.253522
40,90.419757,59.620531,12.564793,199.112757,2.75806,79.090209
41,90.788339,61.120527,12.566377,193.444056,2.316341,73.338371
43,90.449586,60.605113,12.90552,219.638832,1.662973,76.671703
44,90.435267,59.665931,12.66057,212.923337,1.997112,75.950278
45,91.338315,59.024357,12.276803,209.500474,1.203609,71.356125
46,91.178459,59.729636,13.153209,210.578359,2.035061,73.423187
47,90.177074,61.808665,13.379699,203.010082,2.370284,73.446743
48,90.415252,60.370582,12.744756,210.048097,2.091782,72.142799
49,90.772847,59.603196,11.885479,205.122159,2.18243,76.923361
50,91.217753,61.606638,13.236327,221.286785,1.315259,69.099442
51,91.34149,59.978907,12.029162,212.017447,1.985224,76.330097
52,90.855394,60.527282,12.510453,208.81761,0.765723,66.937194
53,90.628102,59.21909,12.871993,203.255393,2.15855,73.23561
54,91.452826,60.584607,12.750737,211.652774,0.978364,77.346273
55,91.41495,60.886366,12.983728,210.061599,1.716185,77.259969
56,90.771784,60.53752,13.400779,194.767775,2.272082,81.693403
57,90.755091,59.37756,12.802526,220.840707,2.596927,75.98883
58,90.605674,60.673628,12.155273,215.679154,2.114892,73.53896
59,91.353727,58.49686,12.235565,218.205742,1.972449,74.226396
60,90.854276,59.772796,12.754791,215.69056,1.893559,73.989727
61,90.373142,61.746778,12.971773,216.665349,1.933249,74.582651
62,90.372598,59.557027,12.678635,221.695603,0.62473,73.892932
63,91.044066,59.635691,11.980793,192.794282,2.356161,80.34573
64,90.548481,62.239195,13.837814,219.816928,1.450374,66.514643
65,91.467513,59.124447,12.668894,201.983787,1.693492,73.015609
66,91.430038,58.598553,12.358509,202.219671,2.335177,73.776076
67,91.497789,59.976418,12.368774,206.483779,2.148304,69.236586
68,90.059076,59.836274,12.592287,221.825841,2.017632,77.396385
69,90.86791,61.240383,13.699705,212.184803,2.228491,74.802047
70,90.24705,59.298003,12.846502,216.025763,2.534603,78.270779
71,90.470107,60.661703,12.693256,207.790258,1.848372,72.931468
72,90.444674,60.184704,12.127184,210.508743,1.923325,76.041076
73,90.870656,59.758842,13.130166,209.893018,1.653058,70.079817
74,91.239532,59.843771,12.441959,209.661188,1.303851,71.222237
75,90.254676,59.889727,13.077739,204.348217,1.650884,77.399122
76,90.831872,59.550208,12.737923,198.50196,1.849683,73.626851
77,89.903234,62.703168,13.949822,204.122736,1.988088,81.036662
78,90.816008,59.909117,12.126756,221.001408,2.37796,75.842398
79,90.198118,59.582553,12.313184,218.786212,1.958594,76.041884
80,90.796101,60.264916,12.10774,219.565752,2.484909,75.60307
81,91.015966,59.97108,12.83504,201.79706,2.027207,77.311953
82,90.495861,58.480666,12.431977,218.205419,2.195631,77.522096
83,91.539316,59.795889,12.190576,201.19862,1.638511,72.486891
84,89.934467,60.598567,13.001042,212.203409,2.359858,76.081683
85,91.012066,61.145766,12.247051,214.733046,1.785843,73.449155
86,90.593192,60.235936,13.343387,216.672374,1.115579,74.438204
87,91.261082,58.233104,12.219707,207.054938,1.997731,73.85497
88,91.594329,60.193876,12.64779,207.879859,1.217666,69.126588
89,90.366375,59.891158,12.918932,204.542142,2.087123,81.462649
90,92.001016,60.08223,11.829969,200.965219,1.506455,76.071541
91,92.235099,60.642823,12.349901,202.993023,1.24074,70.452445
92,90.935999,58.498104,12.614387,210.391491,1.771484,79.511707
93,90.515468,58.556329,12.350788,209.111327,2.121026,74.536629
94,90.363955,59.390105,12.025105,219.96452,2.249195,77.068218
95,90.585254,61.134039,12.822686,206.841394,1.784007,75.395583
96,90.162902,59.296373,12.025632,216.622197,2.22547,76.965022
97,91.105,59.437038,12.238725,219.547469,1.778583,76.074347
98,90.967175,60.056495,11.889059,209.43223,1.742737,73.717905
99,90.959494,59.634707,12.30321,206.304636,1.791238,73.68158
100,90.607831,60.892406,13.192018,209.035817,0.655514,78.199927
101,90.821086,61.098133,12.087831,218.306002,2.536748,79.43136
102,90.787965,59.338568,12.062546,208.146769,2.212232,78.156944
103,91.196857,61.024135,12.485945,214.932009,2.611584,77.661563
104,90.31494,60.157188,12.623445,215.742959,2.049261,72.93011
105,91.065582,59.12206,12.286412,224.553472,2.218594,76.383212
106,91.333589,61.233028,12.765977,210.114695,1.190881,73.768896
107,90.422337,60.328456,12.467347,205.751333,2.222994,73.399467
108,92.109316,58.659888,12.250495,206.605001,2.002276,76.315274
109,90.781022,59.964826,12.487703,212.052608,1.233517,69.457317
110,90.026357,60.342751,13.572659,222.788217,1.619923,77.801333
111,90.637079,60.583882,12.776084,201.584267,1.274932,65.415889
112,90.369421,60.493941,12.532904,207.577187,1.884795,71.751552
113,90.954849,60.188252,12.60886,209.697175,2.007153,70.079816
114,91.549306,60.270197,12.263445,208.248075,1.723466,76.461744
115,90.728211,59.797526,13.400101,203.916221,1.634577,70.300068
116,90.633333,60.764023,13.348945,204.009529,2.369924,74.797911
117,91.776558,61.527681,13.630463,209.45169,1.40685,76.555081
