Codigo	PAI	MAE
g1	g4	g3
g2	0	0
g3	0	0
g4	0	0
F2	g2	g1
g5	0	0
g6	g8	g3
g7	0	0
g8	0	0
g9	g7	g6
g10	0	0
g11	0	0
g12	0	0
g13	g5	g14
g14	0	0
F1	0	F2
F3	g5	g3
F4	g7	g6
F5	g10	g9
F6	g11	g9
F7	g11	g9
F8	g12	g9
F9	g10	g9
F10	g10	g9
F11	g11	g9
F12	g11	g9
F13	g11	g9
F14	g11	g9
F15	g10	g9
F16	g11	g9
F17	g11	g9
F18	g11	g9
F19	g11	g9
F20	g11	g9
1	0	F1
3	0	F1
4	0	F1
5	0	F1
6	0	F2
7	0	F2
8	0	F2
9	0	F2
10	0	F2
11	0	F3
12	0	F3
13	0	F3
14	0	F3
15	0	F3
16	0	F4
17	0	F4
18	0	F4
19	0	F4
20	0	F4
22	0	F5
23	0	F5
24	0	F5
25	0	F5
26	0	F6
27	0	F6
28	0	F6
30	0	F6
31	0	F7
32	0	F7
33	0	F7
34	0	F7
35	0	F7
37	0	F8
39	0	F8
40	0	F8
41	0	F9
43	0	F9
44	0	F9
45	0	F9
46	0	F10
47	0	F10
48	0	F10
49	0	F10
50	0	F10
51	0	F12
52	0	F12
53	0	F12
54	0	F12
55	0	F12
56	0	F13
57	0	F13
58	0	F13
59	0	F13
60	0	F13
61	0	F14
62	0	F14
63	0	F14
64	0	F14
65	0	F14
66	0	F15
67	0	F15
68	0	F15
69	0	F15
70	0	F15
71	0	F16
72	0	F16
73	0	F16
74	0	F16
75	0	F16
76	0	F17
77	0	F17
78	0	F17
79	0	F17
80	0	F17
81	0	F18
82	0	F18
83	0	F18
84	0	F18
85	0	F18
86	0	F19
87	0	F19
88	0	F19
89	0	F19
90	0	F19
91	0	F20
92	0	F20
93	0	F20
94	0	F20
95	0	F20
96	0	F16
97	0	F16
98	0	F16
99	0	F16
100	0	F16
101	0	F7
102	0	F7
103	0	F7
104	0	F7
105	0	F7
106	0	F9
107	0	F9
108	0	F9
109	0	F9
110	0	F9
111	0	F17
112	0	F17
113	0	F17
114	0	F17
115	0	F17
116	0	F8
117	0	F8
118	0	F8
119	0	F8
120	0	F8
121	0	F14
122	0	F14
123	0	F14
124	0	F14
125	0	F14
126	0	F10
127	0	F10
128	0	F10
129	0	F10
130	0	F10
131	0	F18
132	0	F18
133	0	F18
